scientific_name,animal_project_code,acoustic_project_code,station_name,n
Abramis brama,2020_PhD_Winter,cpodnetwork,Faulbaums,1
Alosa fallax,2015_fint,cpodnetwork,Birkenfels,1
Alosa fallax,2015_fint,cpodnetwork,Cpowerreefballs,13
Alosa fallax,2015_fint,cpodnetwork,Fairplay,27
Alosa fallax,2015_fint,cpodnetwork,G-88,30
Alosa fallax,2015_fint,cpodnetwork,Grafton,65
Alosa fallax,2015_fint,cpodnetwork,Nauticaena,201
Anguilla anguilla,2015_phd_verhelst_eel,cpodnetwork,Cpowerreefballs,1
Anguilla anguilla,2019_Grotenete,cpodnetwork,Faulbaums,9
Anguilla anguilla,2019_Grotenete,cpodnetwork,Grafton,8
Anguilla anguilla,2019_Grotenete,cpodnetwork,Nauticaena,31
Anguilla anguilla,BALANCE,cpodnetwork,Buitenratel,11
Anguilla anguilla,BALANCE,cpodnetwork,Cpowerreefballs,9
Anguilla anguilla,BALANCE,cpodnetwork,Grafton,1
Anguilla anguilla,DAK,cpodnetwork,G-88,18
Anguilla anguilla,DAK,cpodnetwork,Nauticaena,12
Anguilla anguilla,Noordzeekanaal,cpodnetwork,Belwindreefballs,1
Built-in,pc4c,cpodnetwork,Birkenfels,78445
Built-in,pc4c,cpodnetwork,G-88,66
Chelon labrosus,SWIMWAY_2021,cpodnetwork,Buitenratel,5
Chelon labrosus,SWIMWAY_2021,cpodnetwork,Cpowerreefballs,5
Chelon labrosus,SWIMWAY_2021,cpodnetwork,Faulbaums,22
Chelon labrosus,SWIMWAY_2021,cpodnetwork,Grafton,9
Chelon ramada,SWIMWAY_2021,cpodnetwork,Fairplay,4
Chelon ramada,SWIMWAY_2021,cpodnetwork,Grafton,1
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Belwindreefballs,263
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Birkenfels,11193
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Buitenratel,87
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Cpowerreefballs,13
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Faulbaums,851
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,G-88,18
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Gardencity,71945
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Grafton,25
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Nauticaena,134
Dicentrarchus labrax,PhD_Goossens,cpodnetwork,Westhinder,6
Dicentrarchus labrax,SWIMWAY_2021,cpodnetwork,Belwindreefballs,101
Dicentrarchus labrax,SWIMWAY_2021,cpodnetwork,Cpowerreefballs,30
Dicentrarchus labrax,SWIMWAY_2021,cpodnetwork,Gardencity,140
Gadus morhua,2015_phd_verhelst_cod,cpodnetwork,Cpowerreefballs,24360
Gadus morhua,2015_phd_verhelst_cod,cpodnetwork,G-88,1
Gadus morhua,2015_phd_verhelst_cod,cpodnetwork,Nauticaena,2
Gadus morhua,pc4c,cpodnetwork,Belwindreefballs,2
Gadus morhua,pc4c,cpodnetwork,Cpowerreefballs,55012
Gadus morhua,pc4c,cpodnetwork,G-88,12
Gadus morhua,pc4c,cpodnetwork,Westhinder,7
Gadus morhua,Rijke_Noordzee,cpodnetwork,Belwindreefballs,22
Gadus morhua,Rijke_Noordzee,cpodnetwork,Birkenfels,3
Gadus morhua,Rijke_Noordzee,cpodnetwork,Cpowerreefballs,2
Gadus morhua,Rijke_Noordzee,cpodnetwork,Gardencity,3
Mustelus asterias,ADST-Shark,cpodnetwork,Birkenfels,2
Mustelus asterias,ADST-Shark,cpodnetwork,Cpowerreefballs,41
Mustelus asterias,ADST-Shark,cpodnetwork,G-88,91
Mustelus asterias,ADST-Shark,cpodnetwork,Grafton,31
Mustelus asterias,ADST-Shark,cpodnetwork,Nauticaena,4
Mustelus asterias,ADST-Shark,cpodnetwork,Westhinder,3
Pleuronectes platessa,PhD_JolienBuyse,cpodnetwork,Westhinder,2
Raja clavata,SVNL-WS,cpodnetwork,Belwindreefballs,4
Raja clavata,SVNL-WS,cpodnetwork,Cpowerreefballs,17
Raja clavata,SVNL-WS,cpodnetwork,Faulbaums,259
Raja clavata,SVNL-WS,cpodnetwork,G-88,111
Raja clavata,SVNL-WS,cpodnetwork,Grafton,99
Raja clavata,SVNL-WS,cpodnetwork,Nauticaena,75
Raja clavata,SVNL-WS,cpodnetwork,Westhinder,355
Salmo salar,LBSSM,cpodnetwork,Faulbaums,1
Salmo salar,LBSSM,cpodnetwork,Grafton,1
NA,NA,cpodnetwork,Belwindreefballs,18976
NA,NA,cpodnetwork,Birkenfels,70850
NA,NA,cpodnetwork,Buitenratel,53004
NA,NA,cpodnetwork,Cpowerreefballs,88444
NA,NA,cpodnetwork,Faulbaums,19383
NA,NA,cpodnetwork,Gardencity,3
NA,NA,cpodnetwork,Grafton,82
NA,NA,cpodnetwork,Nauticaena,1
NA,NA,cpodnetwork,Westhinder,300
